País,Estado/Región,"C.P./Código Postal","Subtotal del Pedido (y superior)","Precio del envío"
MEX,*,14050,0.0000,2922.0000
MEX,*,14060,0.0000,2922.0000
MEX,*,1407,9.0000,2922.0000
MEX,*,14070,0.0000,2922.0000
MEX,*,1408,9.0000,2922.0000
MEX,*,14080,0.0000,2922.0000
MEX,*,14090,0.0000,2922.0000
MEX,*,14098,0.0000,2922.0000
MEX,*,1410,9.0000,2922.0000
MEX,*,14100,1.0000,2922.0000
MEX,*,14108,1.0000,2922.0000
MEX,*,14110,1.0000,2922.0000
MEX,*,14120,1.0000,2922.0000
MEX,*,14129,1.0000,2922.0000
MEX,*,14130,1.0000,2922.0000
MEX,*,14140,1.0000,2922.0000
MEX,*,14141,1.0000,2922.0000
MEX,*,14148,1.0000,2922.0000
MEX,*,14149,1.0000,2922.0000
MEX,*,14150,1.0000,2922.0000
MEX,*,14160,1.0000,2922.0000
MEX,*,1419,9.0000,2922.0000
MEX,*,1420,9.0000,2922.0000
MEX,*,14200,2.0000,2922.0000
MEX,*,14208,2.0000,2922.0000
MEX,*,14209,2.0000,2922.0000
MEX,*,14210,2.0000,2922.0000
MEX,*,14219,2.0000,2922.0000
MEX,*,14220,2.0000,2922.0000
MEX,*,14230,2.0000,2922.0000
MEX,*,14239,2.0000,2922.0000
MEX,*,14240,2.0000,2922.0000
MEX,*,14248,2.0000,2922.0000
MEX,*,14250,2.0000,2922.0000
MEX,*,14260,2.0000,2922.0000
MEX,*,14266,2.0000,2922.0000
MEX,*,14267,2.0000,2922.0000
MEX,*,14268,2.0000,2922.0000
MEX,*,14269,2.0000,2922.0000
MEX,*,14270,2.0000,2922.0000
MEX,*,14273,2.0000,2922.0000
MEX,*,14275,2.0000,2922.0000
MEX,*,14276,2.0000,2922.0000
MEX,*,1430,9.0000,2922.0000
MEX,*,14300,3.0000,2922.0000
MEX,*,14307,3.0000,2922.0000
MEX,*,14308,3.0000,2922.0000
MEX,*,14309,3.0000,2922.0000
MEX,*,14310,3.0000,2922.0000
MEX,*,14320,3.0000,2922.0000
MEX,*,14324,3.0000,2922.0000
MEX,*,14325,3.0000,2922.0000
MEX,*,14326,3.0000,2922.0000
MEX,*,14327,3.0000,2922.0000
MEX,*,14328,3.0000,2922.0000
MEX,*,14329,3.0000,2922.0000
MEX,*,14330,3.0000,2922.0000
MEX,*,14334,3.0000,2922.0000
MEX,*,14335,3.0000,2922.0000
MEX,*,14336,3.0000,2922.0000
MEX,*,14337,3.0000,2922.0000
MEX,*,14338,3.0000,2922.0000
MEX,*,14339,3.0000,2922.0000
MEX,*,14340,3.0000,2922.0000
MEX,*,14350,3.0000,2922.0000
MEX,*,14356,3.0000,2922.0000
MEX,*,14357,3.0000,2922.0000
MEX,*,14358,3.0000,2922.0000
MEX,*,14360,3.0000,2922.0000
MEX,*,14370,3.0000,2922.0000
MEX,*,14376,3.0000,2922.0000
MEX,*,14377,3.0000,2922.0000
MEX,*,14378,3.0000,2922.0000
MEX,*,14380,3.0000,2922.0000
MEX,*,14386,3.0000,2922.0000
MEX,*,14387,3.0000,2922.0000
MEX,*,14388,3.0000,2922.0000
MEX,*,14389,3.0000,2922.0000
MEX,*,14390,3.0000,2922.0000
MEX,*,14399,3.0000,2922.0000
MEX,*,1440,9.0000,2922.0000
MEX,*,14400,4.0000,2922.0000
MEX,*,14406,4.0000,2922.0000
MEX,*,14408,4.0000,2922.0000
MEX,*,14409,4.0000,2922.0000
MEX,*,14410,4.0000,2922.0000
MEX,*,14420,4.0000,2922.0000
MEX,*,14426,4.0000,2922.0000
MEX,*,14427,4.0000,2922.0000
MEX,*,14428,4.0000,2922.0000
MEX,*,14429,4.0000,2922.0000
MEX,*,14430,4.0000,2922.0000
MEX,*,14438,4.0000,2922.0000
MEX,*,14439,4.0000,2922.0000
MEX,*,14440,4.0000,2922.0000
MEX,*,14449,4.0000,2922.0000
MEX,*,14450,4.0000,2922.0000
MEX,*,14456,4.0000,2922.0000
MEX,*,14460,4.0000,2922.0000
MEX,*,14470,4.0000,2922.0000
MEX,*,14476,4.0000,2922.0000
MEX,*,14479,4.0000,2922.0000
MEX,*,14480,4.0000,2922.0000
MEX,*,14490,4.0000,2922.0000
MEX,*,1450,9.0000,2922.0000
MEX,*,14500,5.0000,2922.0000
MEX,*,14520,5.0000,2922.0000
MEX,*,14529,5.0000,2922.0000
MEX,*,14550,5.0000,2922.0000
MEX,*,1460,9.0000,2922.0000
MEX,*,14600,6.0000,2922.0000
MEX,*,14608,6.0000,2922.0000
MEX,*,14609,6.0000,2922.0000
MEX,*,14610,6.0000,2922.0000
MEX,*,14620,6.0000,2922.0000
MEX,*,14629,6.0000,2922.0000
MEX,*,14630,6.0000,2922.0000
MEX,*,14639,6.0000,2922.0000
MEX,*,14640,6.0000,2922.0000
MEX,*,14643,6.0000,2922.0000
MEX,*,14646,6.0000,2922.0000
MEX,*,14647,6.0000,2922.0000
MEX,*,14650,6.0000,2922.0000
MEX,*,14651,6.0000,2922.0000
MEX,*,14653,6.0000,2922.0000
MEX,*,14654,6.0000,2922.0000
MEX,*,14655,6.0000,2922.0000
MEX,*,14657,6.0000,2922.0000
MEX,*,14658,6.0000,2922.0000
MEX,*,14659,6.0000,2922.0000
MEX,*,1470,9.0000,2922.0000
MEX,*,14700,7.0000,2922.0000
MEX,*,14710,7.0000,2922.0000
MEX,*,14720,7.0000,2922.0000
MEX,*,14730,7.0000,2922.0000
MEX,*,14734,7.0000,2922.0000
MEX,*,14735,7.0000,2922.0000
MEX,*,14737,7.0000,2922.0000
MEX,*,14738,7.0000,2922.0000
MEX,*,14739,7.0000,2922.0000
MEX,*,14740,7.0000,2922.0000
MEX,*,14748,7.0000,2922.0000
MEX,*,14749,7.0000,2922.0000
MEX,*,14750,7.0000,2922.0000
MEX,*,14760,7.0000,2922.0000
MEX,*,14780,7.0000,2922.0000
MEX,*,14790,7.0000,2922.0000
MEX,*,1480,9.0000,2922.0000
MEX,*,1490,9.0000,2922.0000
MEX,*,14900,9.0000,2922.0000
MEX,*,1500,9.0000,2922.0000
MEX,*,15000,0.0000,2922.0000
MEX,*,15010,0.0000,2922.0000
MEX,*,15020,0.0000,2922.0000
MEX,*,1504,9.0000,2922.0000
MEX,*,1505,9.0000,2922.0000
MEX,*,1506,9.0000,2922.0000
MEX,*,1507,9.0000,2922.0000
MEX,*,1508,9.0000,2922.0000
MEX,*,1509,9.0000,2922.0000
MEX,*,1510,9.0000,2922.0000
MEX,*,15100,1.0000,2922.0000
MEX,*,15120,1.0000,2922.0000
MEX,*,1520,9.0000,2922.0000
MEX,*,15200,2.0000,2922.0000
MEX,*,15210,2.0000,2922.0000
MEX,*,15220,2.0000,2922.0000
MEX,*,15230,2.0000,2922.0000
MEX,*,15240,2.0000,2922.0000
MEX,*,15250,2.0000,2922.0000
MEX,*,15260,2.0000,2922.0000
MEX,*,15270,2.0000,2922.0000
MEX,*,15280,2.0000,2922.0000
MEX,*,15290,2.0000,2922.0000
MEX,*,15299,2.0000,2922.0000
MEX,*,1530,9.0000,2922.0000
MEX,*,15300,3.0000,2922.0000
MEX,*,15309,3.0000,2922.0000
MEX,*,15310,3.0000,2922.0000
MEX,*,15320,3.0000,2922.0000
MEX,*,15330,3.0000,2922.0000
MEX,*,15339,3.0000,2922.0000
MEX,*,15340,3.0000,2922.0000
MEX,*,15350,3.0000,2922.0000
MEX,*,1537,9.0000,2922.0000
MEX,*,15370,3.0000,2922.0000
MEX,*,1538,0.0000,2922.0000
MEX,*,15380,3.0000,2922.0000
MEX,*,1539,0.0000,2922.0000
MEX,*,15390,3.0000,2922.0000
MEX,*,1540,0.0000,2922.0000
MEX,*,15400,4.0000,2922.0000
MEX,*,15410,4.0000,2922.0000
MEX,*,15420,4.0000,2922.0000
MEX,*,15430,4.0000,2922.0000
MEX,*,15440,4.0000,2922.0000
MEX,*,15450,4.0000,2922.0000
MEX,*,15460,4.0000,2922.0000
MEX,*,15470,4.0000,2922.0000
MEX,*,1548,0.0000,2922.0000
MEX,*,1549,0.0000,2922.0000
MEX,*,1550,0.0000,2922.0000
MEX,*,15500,5.0000,2922.0000
MEX,*,15510,5.0000,2922.0000
MEX,*,15520,5.0000,2922.0000
MEX,*,15530,5.0000,2922.0000
MEX,*,15540,5.0000,2922.0000
MEX,*,1560,0.0000,2922.0000
MEX,*,15600,6.0000,2922.0000
MEX,*,15610,6.0000,2922.0000
MEX,*,15620,6.0000,2922.0000
MEX,*,15630,6.0000,2922.0000
MEX,*,15640,6.0000,2922.0000
MEX,*,15650,6.0000,2922.0000
MEX,*,1566,0.0000,2922.0000
MEX,*,15660,6.0000,2922.0000
MEX,*,15669,6.0000,2922.0000
MEX,*,1567,0.0000,2922.0000
MEX,*,15670,6.0000,2922.0000
MEX,*,15680,6.0000,2922.0000
MEX,*,1569,0.0000,2922.0000
MEX,*,15700,7.0000,2922.0000
MEX,*,15710,7.0000,2922.0000
MEX,*,15720,7.0000,2922.0000
MEX,*,15730,7.0000,2922.0000
MEX,*,15740,7.0000,2922.0000
MEX,*,15750,7.0000,2922.0000
MEX,*,1580,0.0000,2922.0000
MEX,*,15800,8.0000,2922.0000
MEX,*,15810,8.0000,2922.0000
MEX,*,15820,8.0000,2922.0000
MEX,*,15829,8.0000,2922.0000
MEX,*,15830,8.0000,2922.0000
MEX,*,15840,8.0000,2922.0000
MEX,*,1585,0.0000,2922.0000
MEX,*,15850,8.0000,2922.0000
MEX,*,1586,0.0000,2922.0000
MEX,*,15860,8.0000,2922.0000
MEX,*,1587,0.0000,2922.0000
MEX,*,15870,8.0000,2922.0000
MEX,*,1588,0.0000,2922.0000
MEX,*,1589,0.0000,2922.0000
MEX,*,1590,0.0000,2922.0000
MEX,*,15900,9.0000,2922.0000
MEX,*,15909,9.0000,2922.0000
MEX,*,15940,9.0000,2922.0000
MEX,*,15950,9.0000,2922.0000
MEX,*,15960,9.0000,2922.0000
MEX,*,15968,9.0000,2922.0000
MEX,*,15970,9.0000,2922.0000
MEX,*,15980,9.0000,2922.0000
MEX,*,15990,9.0000,2922.0000
MEX,*,1600,0.0000,2922.0000
MEX,*,16000,0.0000,2922.0000
MEX,*,16010,0.0000,2922.0000
MEX,*,16019,0.0000,2922.0000
MEX,*,16020,0.0000,2922.0000
MEX,*,16029,0.0000,2922.0000
MEX,*,16030,0.0000,2922.0000
MEX,*,16034,0.0000,2922.0000
MEX,*,16035,0.0000,2922.0000
MEX,*,16036,0.0000,2922.0000
MEX,*,16038,0.0000,2922.0000
MEX,*,16039,0.0000,2922.0000
MEX,*,16040,0.0000,2922.0000
