País,Estado/Región,C.P./Código Postal,Subtotal del Pedido (y superior),Precio del envío
MEX,*,14600,0.0000,399.0000
MEX,*,14608,0.0000,399.0000
MEX,*,14609,0.0000,399.0000
MEX,*,14610,0.0000,399.0000
MEX,*,14620,0.0000,399.0000
MEX,*,14629,0.0000,399.0000
MEX,*,14630,0.0000,399.0000
MEX,*,14639,0.0000,399.0000
MEX,*,14640,0.0000,399.0000
MEX,*,14643,0.0000,399.0000
MEX,*,14646,0.0000,399.0000
MEX,*,14647,0.0000,399.0000
MEX,*,14650,0.0000,399.0000
MEX,*,14651,0.0000,399.0000
MEX,*,14653,0.0000,399.0000
MEX,*,14654,0.0000,399.0000
MEX,*,14655,0.0000,399.0000
MEX,*,14657,0.0000,399.0000
MEX,*,14658,0.0000,399.0000
MEX,*,14659,0.0000,399.0000
MEX,*,01470,0.0000,399.0000
MEX,*,14700,0.0000,399.0000
MEX,*,14710,0.0000,399.0000
MEX,*,14720,0.0000,399.0000
MEX,*,14730,0.0000,399.0000
MEX,*,14734,0.0000,399.0000
MEX,*,14735,0.0000,399.0000
MEX,*,14737,0.0000,399.0000
MEX,*,14738,0.0000,399.0000
MEX,*,14739,0.0000,399.0000
MEX,*,14740,0.0000,399.0000
MEX,*,14748,0.0000,399.0000
MEX,*,14749,0.0000,399.0000
MEX,*,14750,0.0000,399.0000
MEX,*,14760,0.0000,399.0000
MEX,*,14780,0.0000,399.0000
MEX,*,14790,0.0000,399.0000
MEX,*,01480,0.0000,399.0000
MEX,*,01490,0.0000,399.0000
MEX,*,14900,0.0000,399.0000
MEX,*,01500,0.0000,399.0000
MEX,*,15000,0.0000,399.0000
MEX,*,15010,0.0000,399.0000
MEX,*,15020,0.0000,399.0000
MEX,*,01504,0.0000,399.0000
MEX,*,01505,0.0000,399.0000
MEX,*,01506,0.0000,399.0000
MEX,*,01507,0.0000,399.0000
MEX,*,01508,0.0000,399.0000
MEX,*,01509,0.0000,399.0000
MEX,*,01510,0.0000,399.0000
MEX,*,15100,0.0000,399.0000
MEX,*,15120,0.0000,399.0000
MEX,*,01520,0.0000,399.0000
MEX,*,15200,0.0000,399.0000
MEX,*,15210,0.0000,399.0000
MEX,*,15220,0.0000,399.0000
MEX,*,15230,0.0000,399.0000
MEX,*,15240,0.0000,399.0000
MEX,*,15250,0.0000,399.0000
MEX,*,15260,0.0000,399.0000
MEX,*,15270,0.0000,399.0000
MEX,*,15280,0.0000,399.0000
MEX,*,15290,0.0000,399.0000
MEX,*,15299,0.0000,399.0000
MEX,*,01530,0.0000,399.0000
MEX,*,15300,0.0000,399.0000
MEX,*,15309,0.0000,399.0000
MEX,*,15310,0.0000,399.0000
MEX,*,15320,0.0000,399.0000
MEX,*,15330,0.0000,399.0000
MEX,*,15339,0.0000,399.0000
MEX,*,15340,0.0000,399.0000
MEX,*,15350,0.0000,399.0000
MEX,*,01537,0.0000,399.0000
MEX,*,15370,0.0000,399.0000
MEX,*,01538,0.0000,399.0000
MEX,*,15380,0.0000,399.0000
MEX,*,01539,0.0000,399.0000
MEX,*,15390,0.0000,399.0000
MEX,*,01540,0.0000,399.0000
MEX,*,15400,0.0000,399.0000
MEX,*,15410,0.0000,399.0000
MEX,*,15420,0.0000,399.0000
MEX,*,15430,0.0000,399.0000
MEX,*,15440,0.0000,399.0000
MEX,*,15450,0.0000,399.0000
MEX,*,15460,0.0000,399.0000
MEX,*,15470,0.0000,399.0000
MEX,*,01548,0.0000,399.0000
MEX,*,01549,0.0000,399.0000
MEX,*,01550,0.0000,399.0000
MEX,*,15500,0.0000,399.0000
MEX,*,15510,0.0000,399.0000
MEX,*,15520,0.0000,399.0000
MEX,*,15530,0.0000,399.0000
MEX,*,15540,0.0000,399.0000
MEX,*,01560,0.0000,399.0000
MEX,*,15600,0.0000,399.0000
MEX,*,15610,0.0000,399.0000
MEX,*,15620,0.0000,399.0000
MEX,*,15630,0.0000,399.0000
MEX,*,15640,0.0000,399.0000
MEX,*,15650,0.0000,399.0000
MEX,*,01566,0.0000,399.0000
MEX,*,15660,0.0000,399.0000
MEX,*,15669,0.0000,399.0000
MEX,*,01567,0.0000,399.0000
MEX,*,15670,0.0000,399.0000
MEX,*,15680,0.0000,399.0000
MEX,*,01569,0.0000,399.0000
MEX,*,15700,0.0000,399.0000
MEX,*,15710,0.0000,399.0000
MEX,*,15720,0.0000,399.0000
MEX,*,15730,0.0000,399.0000
MEX,*,15740,0.0000,399.0000
MEX,*,15750,0.0000,399.0000
MEX,*,01580,0.0000,399.0000
MEX,*,15800,0.0000,399.0000
MEX,*,15810,0.0000,399.0000
MEX,*,15820,0.0000,399.0000
MEX,*,15829,0.0000,399.0000
MEX,*,15830,0.0000,399.0000
MEX,*,15840,0.0000,399.0000
MEX,*,01585,0.0000,399.0000
MEX,*,15850,0.0000,399.0000
MEX,*,01586,0.0000,399.0000
MEX,*,15860,0.0000,399.0000
MEX,*,01587,0.0000,399.0000
MEX,*,15870,0.0000,399.0000
MEX,*,01588,0.0000,399.0000
MEX,*,01589,0.0000,399.0000
MEX,*,01590,0.0000,399.0000
MEX,*,15900,0.0000,399.0000
MEX,*,15909,0.0000,399.0000
MEX,*,15940,0.0000,399.0000
MEX,*,15950,0.0000,399.0000
MEX,*,15960,0.0000,399.0000
MEX,*,15968,0.0000,399.0000
MEX,*,15970,0.0000,399.0000
MEX,*,15980,0.0000,399.0000
MEX,*,15990,0.0000,399.0000
MEX,*,01600,0.0000,399.0000
MEX,*,16000,0.0000,399.0000
MEX,*,16010,0.0000,399.0000
MEX,*,16019,0.0000,399.0000
MEX,*,16020,0.0000,399.0000
MEX,*,16029,0.0000,399.0000
MEX,*,16030,0.0000,399.0000
MEX,*,16034,0.0000,399.0000
MEX,*,16035,0.0000,399.0000
MEX,*,16036,0.0000,399.0000
MEX,*,16038,0.0000,399.0000
MEX,*,16039,0.0000,399.0000
MEX,*,16040,0.0000,399.0000
MEX,*,16050,0.0000,399.0000
MEX,*,16057,0.0000,399.0000
MEX,*,16058,0.0000,399.0000
MEX,*,16059,0.0000,399.0000
MEX,*,16060,0.0000,399.0000
MEX,*,16070,0.0000,399.0000
MEX,*,16080,0.0000,399.0000
MEX,*,16090,0.0000,399.0000
MEX,*,16095,0.0000,399.0000
MEX,*,16098,0.0000,399.0000
MEX,*,16099,0.0000,399.0000
